mz,intensity,rt
193.08591,29721,451.8
834.91746,42854,319.8
253.09104,58265,401.4
588.36658,180846,581.4
158.09626,12333,108
226.12592,130502,256.8
321.1088,32883,297.6
176.12675,26890,297.6
242.13768,148690,529.8
279.2074,48552,401.4
212.1802,84570,552.6
537.67604,45126,493.8
406.05925,88589,138
596.3755,58896,514.8
275.12192,439391,355.8
278.20092,75219,401.4
221.17529,71346,72
393.2085,80766,289.2
264.1379,32204,384.6
292.12147,4604629,717
330.08791,33357,737.4
547.19831,60986,526.8
575.88686,51939,644.4
517.01098,31215,352.8
491.13234,28966,387.6
536.37116,31268,589.8
355.2147,133113,717
358.20721,438390,268.8
202.23034,56708,641.4
544.3685,57092,352.8
200.14747,110771,472.8
478.15228,46306,111
208.16434,365802,207
363.11209,103681,798.6
280.10582,68112,399
298.18822,2195684,626.4
417.06699,35871,693
397.19985,21553,937.2
415.18927,2436052,575.4
313.21847,97292,445.8
321.11232,30356,297.6
373.17826,50738,256.8
159.97557,39992,44.4
321.13354,2056234,607.8
235.17162,99130,277.8
124.07307,21229,195
333.1284,54536,47.4
294.20628,4248968,437.4
218.10752,12990,126
350.98706,666581,671.4
325.10451,83214,352.8
279.15922,4201576,881.4
245.23002,31333,274.8
534.34351,78567,426.6
192.08254,19776,231.6
567.36858,26566,505.8
217.11063,29814,421.8
536.31955,75314,424.2
254.23847,704367,384.6
262.02627,349796,448.8
136.08824,133868,60.6
120.07345,19927,141
226.14517,50791,426.6
310.03965,89541,381.6
513.66384,40928,705.6
371.04668,243122,632.4
456.3147,73882,496.8
177.05438,24800,412.8
339.19791,22831,101.4
253.22738,46092,252
198.15989,134381,96
201.12131,2419956,469.8
216.11812,123662,543.6
674.46665,31362,460.8
157.02391,129195,63.6
215.08481,13431958,478.8
308.04139,26808,364.2
236.16399,14103,955.8
184.1331,99408,283.8
267.04061,129333,243
365.07665,1203982,732
226.14967,41918,424.2
272.17782,17578,254.4
222.16719,157862,532.8
310.22258,53025,240
158.09216,18181,51
479.6401,46826,662.4
193.131,20624,1513.8
226.19111,197154,198
337.64267,15860,204
346.05107,4013159,437.4
611.25528,114601,589.8
256.18617,30094,511.8
258.18478,140061,454.8
167.10391,48002,373.2
238.11992,68380,705.6
555.36303,103488,274.8
456.29128,30889,472.8
281.87991,23545,620.4
246.07677,9137,57.6
243.07331,36191,344.4
151.09636,1031254,83.4
230.07868,947196,361.8
376.78353,42078,387.6
289.28255,47627,807.6
228.23775,24236,762
507.36802,83207,1102.8
260.16455,15572942,429.6
385.09586,314974,577.8
284.23441,45278,399
298.29088,37233,649.8
250.09918,45233,717
153.08738,23701,219
262.21602,29143,463.8
440.94427,24433,584.4
305.10768,1027026,804.6
234.19613,83516,283.8
389.18626,31384,659.4
451.12546,42372,523.8
594.29471,41215,581.4
247.16458,32817,132
197.16483,1757113,339
531.31777,2203042,330.6
237.09172,63284,490.2
232.12015,17537,240
546.18684,45262,249
365.20697,1734009,535.8
216.17833,52710,350.4
563.26175,85863,726
273.15482,16994,903
228.27682,131255,759
347.13793,2101898,66.6
235.14246,46984,635.4
370.19758,66261,256.8
251.16025,58906,325.2
280.06653,774783,300.6
502.84735,31934,589.8
522.36851,85750,729.6
432.14589,16736,129
299.03724,743692,478.8
620.9043,36846,543.6
195.08324,30862,262.8
248.1167,36995,96
349.10536,1008677,820.2
256.02075,2004141,180.6
565.70732,42888,684
375.24449,64883,390
221.13586,42887,523.8
304.06774,23623,86.4
373.0678,44897,786.6
721.07585,60874,740.4
192.08074,29774,234
141.97983,101394,89.4
291.20415,674924,189.6
494.25658,58045,336
153.11256,35954,216
560.20039,102937,177.6
220.1436,32424,305.4
278.18281,46340,838.8
273.1255,15435,123
304.28129,61694,595.8
284.16446,1657910,451.8
752.53437,2329698,387.6
309.12426,66354,390
285.07893,8177481,629.4
174.05684,36756,283.8
303.07956,383429,629.4
435.24973,22154,1062.6
703.44618,54544,558
203.12758,69791,509.4
238.10039,32885,487.2
279.10751,45874,629.4
753.5082,232023,614.4
519.26281,34749,584.4
307.15086,12584,1071.6
572.39983,121440,409.8
319.95393,20079,141
149.02266,28396,265.8
278.18607,118315,424.2
409.12757,186117,347.4
418.19819,46075,339
185.07882,20915,159.6
281.11357,138773,396
226.11574,72703,426.6
623.25906,40945,457.8
317.19259,35535,529.8
592.25608,53138,735
404.22225,153798,563.4
240.07302,80491,595.8
155.10798,29907,216
165.09806,45301,98.4
164.12624,30630,92.4
167.12558,103820,75
254.16346,170097,451.8
126.10243,19897,674.4
202.07248,983660,409.8
525.34751,84624,481.8
344.08687,45559,297.6
377.04061,17802,753
315.17756,127039,589.8
301.20502,1384240,252
378.76048,97266,466.8
207.15468,83472,552.6
245.12305,73754,714.6
511.0316,20534,180.6
720.47026,64090,555
474.63269,41753,626.4
468.79887,40753,1105.8
